model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,is_automatic,is_manual,is_semi_auto,fuelType_grouped,model_encoded,transmission_encoded,fuelType_grouped_encoded,price_class,cluster
X3,2011,3000,Automatic,115731,Diesel,34,53.6,2.5,12,1,0,0,Diesel,9,0,0,0,0
1 Series,2014,11594,Semi-Auto,56450,Petrol,182,58.4,3.5,9,0,0,1,Petrol,0,2,4,0,0
3 Series,2013,19286,Manual,87962,Petrol,160,59.7,2.0,10,0,1,0,Petrol,2,1,4,0,0
X3,2021,9608,Automatic,119639,Diesel,92,38.4,3.0,2,1,0,0,Diesel,9,0,0,0,1
1 Series,2022,64382,Automatic,29842,Diesel,196,54.7,2.5,1,1,0,0,Diesel,0,0,0,2,1
X1,2010,55338,Semi-Auto,17531,Petrol,205,24.9,4.4,13,0,0,1,Petrol,7,2,4,2,0
3 Series,2021,60172,Automatic,134242,Diesel,17,37.0,3.0,2,1,0,0,Diesel,2,0,0,2,1
X1,2017,12216,Automatic,122843,Petrol,233,32.3,3.0,6,1,0,0,Petrol,7,0,4,0,1
1 Series,2012,37305,Manual,139369,Petrol,65,35.8,4.0,11,0,1,0,Petrol,0,1,4,1,0
4 Series,2015,85462,Automatic,5163,Diesel,243,48.1,4.4,8,1,0,0,Diesel,3,0,0,2,1
Z4,2013,14661,Automatic,41794,Diesel,275,23.5,2.5,10,1,0,0,Diesel,14,0,0,0,0
X7,2018,61766,Semi-Auto,42787,Diesel,198,59.9,4.4,5,0,0,1,Diesel,13,2,0,2,1
X5,2016,3000,Automatic,109248,Petrol,17,45.4,1.5,7,1,0,0,Petrol,11,0,4,0,0
1 Series,2018,73845,Automatic,58219,Diesel,71,54.9,3.5,5,1,0,0,Diesel,0,0,0,2,1
X5,2019,30383,Automatic,102243,Petrol,154,53.2,2.5,4,1,0,0,Petrol,11,0,4,1,1
1 Series,2012,22352,Automatic,111224,Diesel,169,50.6,2.5,11,1,0,0,Diesel,0,0,0,1,0
1 Series,2010,57730,Manual,25448,Petrol,281,21.6,3.5,13,0,1,0,Petrol,0,1,4,2,0
3 Series,2014,3000,Automatic,57437,Diesel,150,40.7,3.0,9,1,0,0,Diesel,2,0,0,0,0
5 Series,2012,37248,Automatic,29299,Petrol,260,33.1,2.5,11,1,0,0,Petrol,4,0,4,1,0
X5,2015,41863,Semi-Auto,78093,Other,79,24.5,2.0,8,0,0,1,Other,11,2,3,1,0
X3,2017,27731,Automatic,146168,Petrol,105,33.7,4.4,6,1,0,0,Petrol,9,0,4,1,1
5 Series,2020,3000,Automatic,126113,Diesel,10,45.8,2.5,3,1,0,0,Diesel,4,0,0,0,1
3 Series,2022,74924,Automatic,100317,Petrol,207,29.2,2.0,1,1,0,0,Petrol,2,0,4,2,1
i8,2013,29003,Automatic,139463,Petrol,129,37.8,3.0,10,1,0,0,Petrol,16,0,4,1,0
5 Series,2014,21195,Automatic,75891,Petrol,170,36.2,2.5,9,1,0,0,Petrol,4,0,4,0,0
5 Series,2014,53418,Semi-Auto,41286,Diesel,32,22.1,3.0,9,0,0,1,Diesel,4,2,0,2,0
3 Series,2013,8282,Manual,92353,Petrol,23,45.1,2.0,10,0,1,0,Petrol,2,1,4,0,0
X6,2013,22317,Automatic,112027,Petrol,196,44.8,2.5,10,1,0,0,Petrol,12,0,4,1,0
X3,2013,41192,Automatic,38595,Petrol,45,58.7,5.0,10,1,0,0,Petrol,9,0,4,1,0
3 Series,2013,3000,Automatic,129840,Electric,273,31.9,4.4,10,1,0,0,Electric,2,0,1,0,0
1 Series,2013,55715,Automatic,63740,Petrol,230,36.8,4.0,10,1,0,0,Petrol,0,0,4,2,0
X3,2014,74789,Automatic,51929,Petrol,132,36.1,3.5,9,1,0,0,Petrol,9,0,4,2,0
X3,2011,47354,Semi-Auto,33827,Hybrid,263,56.8,2.0,12,0,0,1,Hybrid,9,2,2,1,0
3 Series,2011,59587,Automatic,27209,Hybrid,84,36.3,2.5,12,1,0,0,Hybrid,2,0,2,2,0
X7,2018,9013,Automatic,98654,Petrol,4,37.7,3.0,5,1,0,0,Petrol,13,0,4,0,1
3 Series,2011,24593,Automatic,109947,Diesel,268,30.1,2.0,12,1,0,0,Diesel,2,0,0,1,0
5 Series,2015,34304,Automatic,74396,Petrol,220,20.0,1.5,8,1,0,0,Petrol,4,0,4,1,0
X4,2011,30781,Automatic,145878,Petrol,193,24.4,2.5,12,1,0,0,Petrol,10,0,4,1,0
5 Series,2014,36002,Automatic,114254,Diesel,68,48.2,2.5,9,1,0,0,Diesel,4,0,0,1,0
X1,2013,3000,Automatic,81000,Diesel,287,47.3,1.5,10,1,0,0,Diesel,7,0,0,0,0
5 Series,2021,33797,Automatic,39865,Petrol,175,32.9,2.5,2,1,0,0,Petrol,4,0,4,1,1
3 Series,2016,39147,Automatic,138530,Petrol,238,38.9,4.4,7,1,0,0,Petrol,2,0,4,1,1
i3,2016,23459,Automatic,10151,Petrol,178,31.9,2.0,7,1,0,0,Petrol,15,0,4,1,0
5 Series,2022,7775,Automatic,131759,Diesel,255,49.2,3.0,1,1,0,0,Diesel,4,0,0,0,1
6 Series,2015,59907,Manual,73024,Electric,210,53.7,2.5,8,0,1,0,Electric,5,1,1,2,0
3 Series,2019,3000,Automatic,125001,Petrol,226,56.0,4.0,4,1,0,0,Petrol,2,0,4,0,1
3 Series,2014,36119,Automatic,44183,Diesel,71,27.0,3.0,9,1,0,0,Diesel,2,0,0,1,0
1 Series,2010,3000,Automatic,63323,Petrol,64,47.8,2.0,13,1,0,0,Petrol,0,0,4,0,0
X3,2021,3000,Manual,124978,Diesel,165,58.5,2.0,2,0,1,0,Diesel,9,1,0,0,1
5 Series,2012,49291,Automatic,91254,Petrol,213,46.0,3.0,11,1,0,0,Petrol,4,0,4,2,0
4 Series,2018,3000,Automatic,143242,Diesel,16,34.0,1.5,5,1,0,0,Diesel,3,0,0,0,1
5 Series,2010,56793,Automatic,48284,Petrol,172,45.4,2.5,13,1,0,0,Petrol,4,0,4,2,0
X7,2014,9438,Automatic,141332,Hybrid,128,47.5,2.5,9,1,0,0,Hybrid,13,0,2,0,0
3 Series,2011,23738,Automatic,139708,Petrol,2,35.9,2.0,12,1,0,0,Petrol,2,0,4,1,0
4 Series,2013,3000,Automatic,103491,Petrol,247,24.2,2.5,10,1,0,0,Petrol,3,0,4,0,0
X5,2020,26241,Manual,37108,Diesel,69,44.3,2.5,3,0,1,0,Diesel,11,1,0,1,1
X5,2010,70375,Automatic,16941,Diesel,51,52.1,1.5,13,1,0,0,Diesel,11,0,0,2,0
2 Series,2012,3000,Automatic,73836,Petrol,258,59.9,3.5,11,1,0,0,Petrol,1,0,4,0,0
X5,2019,9681,Automatic,88719,Diesel,238,28.9,5.0,4,1,0,0,Diesel,11,0,0,0,1
X1,2016,19983,Automatic,8444,Diesel,93,48.0,2.0,7,1,0,0,Diesel,7,0,0,0,0
1 Series,2019,60040,Automatic,92291,Diesel,46,21.1,2.0,4,1,0,0,Diesel,0,0,0,2,1
1 Series,2012,46893,Manual,89598,Petrol,74,58.8,5.0,11,0,1,0,Petrol,0,1,4,1,0
X2,2013,3000,Semi-Auto,146682,Petrol,90,20.5,3.0,10,0,0,1,Petrol,8,2,4,0,0
X1,2011,75882,Automatic,67036,Electric,85,34.4,4.0,12,1,0,0,Electric,7,0,1,2,0
X6,2012,44755,Automatic,5554,Petrol,5,23.1,2.5,11,1,0,0,Petrol,12,0,4,1,0
5 Series,2018,18978,Automatic,26545,Diesel,229,44.8,2.5,5,1,0,0,Diesel,4,0,0,0,1
1 Series,2012,3000,Automatic,131745,Diesel,42,33.6,4.4,11,1,0,0,Diesel,0,0,0,0,0
1 Series,2020,79016,Automatic,62971,Petrol,197,49.3,2.5,3,1,0,0,Petrol,0,0,4,2,1
X3,2014,8369,Manual,47059,Petrol,181,39.5,3.0,9,0,1,0,Petrol,9,1,4,0,0
5 Series,2011,7129,Manual,138843,Hybrid,168,36.8,3.0,12,0,1,0,Hybrid,4,1,2,0,0
3 Series,2013,27788,Automatic,70468,Petrol,202,33.9,3.5,10,1,0,0,Petrol,2,0,4,1,0
5 Series,2021,34463,Automatic,27055,Diesel,193,23.4,5.0,2,1,0,0,Diesel,4,0,0,1,1
1 Series,2022,39110,Automatic,4567,Diesel,30,28.2,2.5,1,1,0,0,Diesel,0,0,0,1,1
X1,2016,96449,Automatic,27627,Petrol,101,45.6,2.0,7,1,0,0,Petrol,7,0,4,2,1
3 Series,2016,3753,Automatic,80944,Petrol,63,39.9,1.5,7,1,0,0,Petrol,2,0,4,0,0
X6,2021,3505,Automatic,96368,Hybrid,90,22.8,4.0,2,1,0,0,Hybrid,12,0,2,0,1
3 Series,2012,29220,Automatic,41785,Diesel,249,41.8,2.0,11,1,0,0,Diesel,2,0,0,1,0
5 Series,2014,80022,Automatic,25204,Petrol,182,22.2,1.5,9,1,0,0,Petrol,4,0,4,2,0
1 Series,2010,67363,Automatic,17643,Petrol,279,40.5,4.0,13,1,0,0,Petrol,0,0,4,2,0
1 Series,2019,47242,Manual,71561,Diesel,204,58.6,2.5,4,0,1,0,Diesel,0,1,0,1,1
5 Series,2019,77499,Automatic,38126,Diesel,88,32.3,3.5,4,1,0,0,Diesel,4,0,0,2,1
5 Series,2019,46584,Automatic,59126,Diesel,292,48.9,3.0,4,1,0,0,Diesel,4,0,0,1,1
X1,2020,17700,Automatic,83424,Electric,284,49.8,2.5,3,1,0,0,Electric,7,0,1,0,1
3 Series,2010,7184,Automatic,125453,Diesel,158,36.2,2.0,13,1,0,0,Diesel,2,0,0,0,0
X3,2014,5220,Automatic,46258,Diesel,129,43.7,2.5,9,1,0,0,Diesel,9,0,0,0,0
4 Series,2022,20718,Automatic,35527,Diesel,247,38.9,1.5,1,1,0,0,Diesel,3,0,0,0,1
X5,2019,76721,Automatic,24898,Petrol,139,31.3,3.0,4,1,0,0,Petrol,11,0,4,2,1
1 Series,2018,35215,Automatic,4794,Diesel,188,50.2,2.5,5,1,0,0,Diesel,0,0,0,1,1
5 Series,2010,3000,Semi-Auto,146770,Diesel,90,48.1,2.0,13,0,0,1,Diesel,4,2,0,0,0
1 Series,2010,8755,Automatic,144404,Petrol,55,56.0,2.5,13,1,0,0,Petrol,0,0,4,0,0
3 Series,2013,92376,Automatic,10593,Petrol,225,44.7,3.5,10,1,0,0,Petrol,2,0,4,2,0
i3,2013,62468,Automatic,59132,Diesel,164,35.5,5.0,10,1,0,0,Diesel,15,0,0,2,0
1 Series,2011,49406,Automatic,121973,Diesel,35,48.6,2.5,12,1,0,0,Diesel,0,0,0,2,0
5 Series,2018,45362,Manual,102633,Electric,28,44.8,2.0,5,0,1,0,Electric,4,1,1,1,1
X1,2018,96106,Automatic,12036,Diesel,79,44.7,3.5,5,1,0,0,Diesel,7,0,0,2,1
X3,2022,61003,Automatic,95097,Petrol,168,54.0,3.0,1,1,0,0,Petrol,9,0,4,2,1
X1,2022,86296,Automatic,54164,Diesel,32,56.4,5.0,1,1,0,0,Diesel,7,0,0,2,1
1 Series,2011,22365,Automatic,59413,Petrol,92,27.2,2.5,12,1,0,0,Petrol,0,0,4,1,0
3 Series,2018,32645,Manual,19059,Petrol,111,32.6,2.5,5,0,1,0,Petrol,2,1,4,1,1
7 Series,2015,48913,Automatic,28188,Petrol,208,46.0,5.0,8,1,0,0,Petrol,6,0,4,1,0
1 Series,2017,51363,Automatic,99591,Diesel,193,42.3,2.5,6,1,0,0,Diesel,0,0,0,2,1
5 Series,2019,50467,Manual,82795,Petrol,263,46.1,1.5,4,0,1,0,Petrol,4,1,4,2,1
1 Series,2022,24411,Manual,12829,Petrol,246,37.3,2.5,1,0,1,0,Petrol,0,1,4,1,1
1 Series,2022,29805,Automatic,74673,Petrol,117,36.5,1.5,1,1,0,0,Petrol,0,0,4,1,1
5 Series,2013,57493,Automatic,25502,Petrol,227,24.7,3.0,10,1,0,0,Petrol,4,0,4,2,0
1 Series,2011,86834,Automatic,2265,Hybrid,8,44.9,3.0,12,1,0,0,Hybrid,0,0,2,2,0
X1,2011,51225,Automatic,48457,Other,198,27.0,2.0,12,1,0,0,Other,7,0,3,2,0
X3,2018,27352,Semi-Auto,47875,Diesel,276,46.8,3.5,5,0,0,1,Diesel,9,2,0,1,1
X6,2010,63579,Automatic,61359,Diesel,128,58.7,2.5,13,1,0,0,Diesel,12,0,0,2,0
3 Series,2021,3000,Automatic,107334,Diesel,61,30.3,2.0,2,1,0,0,Diesel,2,0,0,0,1
3 Series,2016,7861,Manual,123950,Diesel,1,25.7,2.0,7,0,1,0,Diesel,2,1,0,0,0
1 Series,2020,32587,Automatic,65102,Diesel,171,21.0,3.5,3,1,0,0,Diesel,0,0,0,1,1
X1,2012,49074,Automatic,102827,Petrol,244,35.2,2.5,11,1,0,0,Petrol,7,0,4,1,0
X3,2012,60985,Semi-Auto,93688,Petrol,87,28.6,3.5,11,0,0,1,Petrol,9,2,4,2,0
1 Series,2011,45427,Manual,60469,Petrol,82,39.7,1.5,12,0,1,0,Petrol,0,1,4,1,0
X4,2019,13565,Manual,96789,Petrol,4,41.0,2.0,4,0,1,0,Petrol,10,1,4,0,1
1 Series,2015,19746,Automatic,14176,Petrol,38,34.0,3.5,8,1,0,0,Petrol,0,0,4,0,0
7 Series,2022,57169,Manual,66036,Diesel,74,50.0,3.0,1,0,1,0,Diesel,6,1,0,2,1
X3,2019,69269,Automatic,8907,Diesel,100,56.2,2.5,4,1,0,0,Diesel,9,0,0,2,1
4 Series,2011,82034,Automatic,4372,Petrol,140,28.5,4.4,12,1,0,0,Petrol,3,0,4,2,0
X3,2019,64884,Semi-Auto,25592,Petrol,92,53.5,2.0,4,0,0,1,Petrol,9,2,4,2,1
X6,2013,3000,Automatic,145174,Diesel,118,25.2,3.5,10,1,0,0,Diesel,12,0,0,0,0
3 Series,2019,61539,Manual,109093,Petrol,287,29.1,3.0,4,0,1,0,Petrol,2,1,4,2,1
X6,2018,36760,Automatic,4139,Petrol,108,42.5,2.0,5,1,0,0,Petrol,12,0,4,1,1
1 Series,2018,40336,Automatic,78179,Diesel,42,32.3,3.0,5,1,0,0,Diesel,0,0,0,1,1
6 Series,2015,19568,Manual,19643,Diesel,135,21.7,4.4,8,0,1,0,Diesel,5,1,0,0,0
7 Series,2022,15140,Automatic,105425,Diesel,216,31.8,3.0,1,1,0,0,Diesel,6,0,0,0,1
X6,2013,47591,Automatic,61117,Diesel,155,56.2,2.5,10,1,0,0,Diesel,12,0,0,1,0
5 Series,2016,21190,Automatic,107485,Diesel,38,27.0,2.5,7,1,0,0,Diesel,4,0,0,0,0
X1,2010,19634,Semi-Auto,114607,Petrol,281,50.6,3.5,13,0,0,1,Petrol,7,2,4,0,0
7 Series,2021,66245,Automatic,61332,Petrol,25,48.9,4.4,2,1,0,0,Petrol,6,0,4,2,1
X5,2013,42576,Automatic,31632,Petrol,31,24.2,3.5,10,1,0,0,Petrol,11,0,4,1,0
1 Series,2014,69932,Automatic,88157,Petrol,45,33.2,3.0,9,1,0,0,Petrol,0,0,4,2,0
1 Series,2017,40430,Semi-Auto,37843,Diesel,155,27.6,2.0,6,0,0,1,Diesel,0,2,0,1,1
3 Series,2021,23922,Manual,39930,Diesel,243,20.9,3.5,2,0,1,0,Diesel,2,1,0,1,1
3 Series,2011,3000,Manual,106940,Electric,34,26.9,1.5,12,0,1,0,Electric,2,1,1,0,0
4 Series,2021,62816,Automatic,59103,Diesel,277,28.1,3.5,2,1,0,0,Diesel,3,0,0,2,1
3 Series,2014,6726,Automatic,41770,Diesel,241,26.6,2.0,9,1,0,0,Diesel,2,0,0,0,0
Z4,2015,17555,Automatic,112757,Diesel,258,23.6,2.5,8,1,0,0,Diesel,14,0,0,0,0
3 Series,2014,31500,Automatic,31158,Petrol,45,41.1,3.0,9,1,0,0,Petrol,2,0,4,1,0
3 Series,2022,66953,Automatic,89992,Diesel,236,32.9,3.5,1,1,0,0,Diesel,2,0,0,2,1
X5,2018,42273,Semi-Auto,48401,Diesel,7,56.3,4.0,5,0,0,1,Diesel,11,2,0,1,1
X3,2019,51095,Manual,145064,Petrol,259,27.5,2.0,4,0,1,0,Petrol,9,1,4,2,1
5 Series,2010,3000,Automatic,46858,Diesel,270,44.1,2.0,13,1,0,0,Diesel,4,0,0,0,0
X1,2012,3000,Automatic,148828,Diesel,43,56.0,6.0,11,1,0,0,Diesel,7,0,0,0,0
X3,2011,20307,Manual,139143,Petrol,237,21.9,2.0,12,0,1,0,Petrol,9,1,4,0,0
3 Series,2021,58708,Automatic,85811,Other,166,40.7,3.0,2,1,0,0,Other,2,0,3,2,1
i8,2022,17428,Automatic,130970,Petrol,75,38.0,5.0,1,1,0,0,Petrol,16,0,4,0,1
Z4,2012,31904,Automatic,7586,Diesel,156,57.2,4.0,11,1,0,0,Diesel,14,0,0,1,0
X3,2019,95987,Automatic,20703,Petrol,200,46.6,2.5,4,1,0,0,Petrol,9,0,4,2,1
3 Series,2018,27862,Manual,77177,Petrol,233,34.0,3.0,5,0,1,0,Petrol,2,1,4,1,1
X3,2022,40953,Automatic,37735,Petrol,231,48.5,2.5,1,1,0,0,Petrol,9,0,4,1,1
1 Series,2018,38083,Automatic,99525,Diesel,211,43.3,2.5,5,1,0,0,Diesel,0,0,0,1,1
1 Series,2019,65316,Automatic,40648,Diesel,153,33.9,2.0,4,1,0,0,Diesel,0,0,0,2,1
3 Series,2011,3000,Manual,144201,Diesel,212,51.4,3.5,12,0,1,0,Diesel,2,1,0,0,0
5 Series,2012,28824,Automatic,37656,Hybrid,86,46.7,1.5,11,1,0,0,Hybrid,4,0,2,1,0
4 Series,2013,20359,Automatic,145571,Diesel,17,20.2,3.0,10,1,0,0,Diesel,3,0,0,0,0
X3,2018,46472,Semi-Auto,76888,Petrol,190,54.6,3.0,5,0,0,1,Petrol,9,2,4,1,1
X5,2012,36468,Semi-Auto,20654,Diesel,53,35.9,2.5,11,0,0,1,Diesel,11,2,0,1,0
5 Series,2022,42260,Semi-Auto,131117,Petrol,215,45.8,2.0,1,0,0,1,Petrol,4,2,4,1,1
3 Series,2016,15958,Manual,87613,Diesel,41,35.9,3.5,7,0,1,0,Diesel,2,1,0,0,0
5 Series,2021,87061,Automatic,19982,Petrol,229,55.3,2.5,2,1,0,0,Petrol,4,0,4,2,1
i3,2012,50595,Automatic,100970,Petrol,229,46.0,3.0,11,1,0,0,Petrol,15,0,4,2,0
1 Series,2016,35968,Automatic,82848,Diesel,181,43.2,1.5,7,1,0,0,Diesel,0,0,0,1,0
4 Series,2016,13165,Automatic,110577,Petrol,140,59.2,1.5,7,1,0,0,Petrol,3,0,4,0,0
X1,2018,8604,Semi-Auto,80874,Diesel,287,31.2,2.0,5,0,0,1,Diesel,7,2,0,0,1
5 Series,2011,31134,Manual,31173,Hybrid,81,22.6,2.0,12,0,1,0,Hybrid,4,1,2,1,0
X3,2022,52995,Manual,127765,Petrol,166,40.6,2.0,1,0,1,0,Petrol,9,1,4,2,1
5 Series,2015,66978,Automatic,38525,Diesel,53,37.0,3.0,8,1,0,0,Diesel,4,0,0,2,0
4 Series,2018,59827,Semi-Auto,28328,Diesel,72,38.2,1.5,5,0,0,1,Diesel,3,2,0,2,1
6 Series,2021,3000,Manual,143432,Petrol,212,44.8,1.5,2,0,1,0,Petrol,5,1,4,0,1
5 Series,2021,29429,Automatic,117242,Diesel,170,44.6,1.5,2,1,0,0,Diesel,4,0,0,1,1
3 Series,2011,38762,Manual,105419,Petrol,269,35.7,3.0,12,0,1,0,Petrol,2,1,4,1,0
X1,2011,17673,Automatic,23625,Petrol,218,54.5,2.5,12,1,0,0,Petrol,7,0,4,0,0
X2,2022,59402,Automatic,108576,Petrol,135,46.1,2.5,1,1,0,0,Petrol,8,0,4,2,1
3 Series,2014,49981,Automatic,17471,Diesel,34,55.6,3.0,9,1,0,0,Diesel,2,0,0,2,0
X1,2019,70865,Automatic,40883,Diesel,145,56.5,3.0,4,1,0,0,Diesel,7,0,0,2,1
X1,2019,101180,Automatic,3703,Petrol,182,26.7,1.5,4,1,0,0,Petrol,7,0,4,2,1
X5,2021,75260,Automatic,66524,Petrol,77,47.2,3.5,2,1,0,0,Petrol,11,0,4,2,1
1 Series,2019,27156,Semi-Auto,16151,Diesel,252,32.7,2.5,4,0,0,1,Diesel,0,2,0,1,1
X3,2017,37837,Automatic,50190,Diesel,235,53.5,2.5,6,1,0,0,Diesel,9,0,0,1,1
6 Series,2020,68496,Manual,57195,Diesel,76,49.3,3.5,3,0,1,0,Diesel,5,1,0,2,1
3 Series,2018,3000,Automatic,127559,Petrol,72,27.9,2.0,5,1,0,0,Petrol,2,0,4,0,1
3 Series,2011,36035,Automatic,65108,Petrol,26,57.5,1.5,12,1,0,0,Petrol,2,0,4,1,0
Z4,2014,60591,Automatic,103241,Diesel,37,47.3,4.4,9,1,0,0,Diesel,14,0,0,2,0
3 Series,2016,67824,Automatic,106190,Petrol,253,57.9,2.5,7,1,0,0,Petrol,2,0,4,2,1
2 Series,2015,89298,Automatic,44050,Petrol,85,28.1,2.5,8,1,0,0,Petrol,1,0,4,2,1
5 Series,2015,48517,Automatic,33976,Diesel,30,54.8,3.5,8,1,0,0,Diesel,4,0,0,1,0
3 Series,2016,23945,Automatic,1599,Diesel,204,46.7,1.5,7,1,0,0,Diesel,2,0,0,1,0
4 Series,2012,68349,Automatic,60867,Diesel,192,42.1,2.0,11,1,0,0,Diesel,3,0,0,2,0
5 Series,2022,63898,Manual,4709,Petrol,229,52.8,2.0,1,0,1,0,Petrol,4,1,4,2,1
7 Series,2012,23105,Automatic,50365,Diesel,180,45.3,3.0,11,1,0,0,Diesel,6,0,0,1,0
5 Series,2019,38524,Automatic,6723,Diesel,244,46.8,2.5,4,1,0,0,Diesel,4,0,0,1,1
X1,2018,58176,Automatic,113308,Diesel,39,30.1,3.5,5,1,0,0,Diesel,7,0,0,2,1
3 Series,2017,37504,Automatic,65120,Petrol,156,52.7,1.5,6,1,0,0,Petrol,2,0,4,1,1
5 Series,2014,63186,Automatic,11316,Diesel,167,46.0,3.0,9,1,0,0,Diesel,4,0,0,2,0
X7,2015,22308,Semi-Auto,107276,Diesel,157,53.8,2.5,8,0,0,1,Diesel,13,2,0,1,0
3 Series,2020,83084,Manual,22162,Diesel,129,34.1,2.0,3,0,1,0,Diesel,2,1,0,2,1
X3,2021,70557,Automatic,29833,Diesel,81,33.3,3.5,2,1,0,0,Diesel,9,0,0,2,1
3 Series,2019,13388,Automatic,149278,Petrol,155,21.0,2.5,4,1,0,0,Petrol,2,0,4,0,1
X5,2010,12353,Automatic,127515,Petrol,174,50.7,3.0,13,1,0,0,Petrol,11,0,4,0,0
1 Series,2019,44903,Manual,121788,Petrol,287,33.2,1.5,4,0,1,0,Petrol,0,1,4,1,1
X7,2021,61409,Automatic,52747,Petrol,87,33.1,3.5,2,1,0,0,Petrol,13,0,4,2,1
5 Series,2010,13861,Automatic,91037,Diesel,101,47.5,2.0,13,1,0,0,Diesel,4,0,0,0,0
3 Series,2013,8492,Manual,114850,Diesel,247,30.1,3.0,10,0,1,0,Diesel,2,1,0,0,0
1 Series,2011,40898,Manual,119641,Petrol,205,56.4,3.5,12,0,1,0,Petrol,0,1,4,1,0
3 Series,2020,3000,Manual,119519,Hybrid,88,41.5,2.0,3,0,1,0,Hybrid,2,1,2,0,1
7 Series,2016,6604,Manual,120271,Petrol,287,58.8,2.0,7,0,1,0,Petrol,6,1,4,0,0
3 Series,2011,68922,Semi-Auto,56387,Petrol,95,23.1,3.0,12,0,0,1,Petrol,2,2,4,2,0
X6,2019,24387,Automatic,26226,Petrol,158,33.5,2.0,4,1,0,0,Petrol,12,0,4,1,1
5 Series,2011,3000,Automatic,107287,Diesel,113,35.3,3.5,12,1,0,0,Diesel,4,0,0,0,0
3 Series,2014,22246,Manual,138572,Diesel,23,49.2,2.5,9,0,1,0,Diesel,2,1,0,1,0
X1,2013,99478,Automatic,2634,Hybrid,162,28.5,2.5,10,1,0,0,Hybrid,7,0,2,2,0
X3,2017,10711,Semi-Auto,146131,Petrol,285,35.0,1.5,6,0,0,1,Petrol,9,2,4,0,1
3 Series,2013,3000,Automatic,116855,Petrol,54,56.4,2.0,10,1,0,0,Petrol,2,0,4,0,0
3 Series,2021,100818,Automatic,5076,Diesel,63,24.6,2.0,2,1,0,0,Diesel,2,0,0,2,1
1 Series,2015,11721,Automatic,107694,Diesel,32,49.8,1.5,8,1,0,0,Diesel,0,0,0,0,0
X5,2014,63029,Automatic,39210,Hybrid,45,48.1,2.0,9,1,0,0,Hybrid,11,0,2,2,0
X3,2020,42513,Automatic,129798,Petrol,218,25.2,2.5,3,1,0,0,Petrol,9,0,4,1,1
5 Series,2011,11588,Manual,33007,Diesel,288,47.5,2.5,12,0,1,0,Diesel,4,1,0,0,0
2 Series,2020,55858,Automatic,89619,Petrol,195,42.8,2.0,3,1,0,0,Petrol,1,0,4,2,1
X6,2022,47943,Manual,123315,Diesel,252,31.5,1.5,1,0,1,0,Diesel,12,1,0,1,1
X1,2021,72646,Automatic,67038,Petrol,285,32.4,2.5,2,1,0,0,Petrol,7,0,4,2,1
4 Series,2017,34637,Automatic,144828,Diesel,235,53.3,3.0,6,1,0,0,Diesel,3,0,0,1,1
3 Series,2011,23656,Automatic,142677,Diesel,78,29.2,2.5,12,1,0,0,Diesel,2,0,0,1,0
1 Series,2018,72371,Automatic,57558,Petrol,91,40.5,4.4,5,1,0,0,Petrol,0,0,4,2,1
3 Series,2018,14182,Manual,107052,Petrol,95,47.2,2.0,5,0,1,0,Petrol,2,1,4,0,1
1 Series,2012,5967,Manual,94079,Petrol,227,25.2,2.0,11,0,1,0,Petrol,0,1,4,0,0
7 Series,2013,41119,Manual,97816,Petrol,285,57.3,2.0,10,0,1,0,Petrol,6,1,4,1,0
X4,2017,11109,Semi-Auto,134942,Petrol,234,30.4,1.5,6,0,0,1,Petrol,10,2,4,0,1
1 Series,2018,57074,Automatic,128942,Petrol,101,32.8,4.4,5,1,0,0,Petrol,0,0,4,2,1
1 Series,2012,20743,Semi-Auto,136830,Diesel,251,46.6,2.5,11,0,0,1,Diesel,0,2,0,0,0
5 Series,2014,12576,Manual,112342,Petrol,139,23.1,2.5,9,0,1,0,Petrol,4,1,4,0,0
X4,2020,18562,Manual,66138,Petrol,142,45.1,2.0,3,0,1,0,Petrol,10,1,4,0,1
3 Series,2017,89869,Automatic,51250,Hybrid,239,56.6,4.0,6,1,0,0,Hybrid,2,0,2,2,1
7 Series,2012,13540,Semi-Auto,118857,Petrol,265,30.0,3.0,11,0,0,1,Petrol,6,2,4,0,0
1 Series,2016,35372,Automatic,116070,Diesel,60,34.5,2.5,7,1,0,0,Diesel,0,0,0,1,0
1 Series,2020,14489,Manual,41558,Diesel,22,29.3,4.0,3,0,1,0,Diesel,0,1,0,0,1
i3,2017,79470,Automatic,54092,Hybrid,10,52.8,4.4,6,1,0,0,Hybrid,15,0,2,2,1
X7,2019,3000,Automatic,76121,Petrol,15,26.7,1.5,4,1,0,0,Petrol,13,0,4,0,1
1 Series,2020,3000,Automatic,123140,Diesel,48,33.9,2.0,3,1,0,0,Diesel,0,0,0,0,1
X7,2012,3000,Automatic,131877,Petrol,169,44.0,1.5,11,1,0,0,Petrol,13,0,4,0,0
X1,2011,15581,Automatic,56604,Hybrid,118,36.2,3.0,12,1,0,0,Hybrid,7,0,2,0,0
4 Series,2019,80533,Manual,38039,Petrol,41,22.6,2.0,4,0,1,0,Petrol,3,1,4,2,1
5 Series,2022,85173,Automatic,70859,Diesel,9,57.9,3.5,1,1,0,0,Diesel,4,0,0,2,1
7 Series,2016,3000,Automatic,93506,Petrol,48,33.5,2.5,7,1,0,0,Petrol,6,0,4,0,0
